Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2019-03-29,1515.00,Balance Sheet,CA TRAFFIC,,
2019-03-04,15141.33,Balance Sheet,DARLINGTON CREDIT UNION LIMITED,,
2019-03-28,16071.33,Balance Sheet,DARLINGTON CREDIT UNION LIMITED,,
2019-03-11,1226.50,Balance Sheet,GROUNDWORK NORTH EAST,,
2019-03-15,10526.67,Balance Sheet,KIDDIVOUCHERS LTD,,
2019-03-04,3772.46,Balance Sheet,NHS PENSIONS,,
2019-03-28,3772.46,Balance Sheet,NHS PENSIONS,,
2019-03-28,20024.63,Balance Sheet,PRUDENTIAL LOCAL GOVERNMENT,,
2019-03-04,19429.54,Balance Sheet,PRUDENTIAL LOCAL GOVERNMENT,,
2019-02-17,1356.00,Balance Sheet,RIDER INDUSTRIAL & SPECIALIST CLEANING,,
2019-03-04,1390.86,Balance Sheet,STANDARD LIFE,,
2019-03-28,1390.86,Balance Sheet,STANDARD LIFE,,
2019-03-04,1781.08,Balance Sheet,THE DARLINGTON LABOUR GROUP,,
2019-03-28,1781.08,Balance Sheet,THE DARLINGTON LABOUR GROUP,,
2019-03-28,6099.70,Balance Sheet,UNISON L04007,,
2019-03-04,6132.49,Balance Sheet,UNISON L04007,,
2019-03-28,538.88,Balance Sheet,UNITE,,
2019-03-04,552.04,Balance Sheet,UNITE,,
2019-03-12,624,COMMISSIONING,CUMMINGS ARCHITECTS LTD,,
2019-03-13,564,COMMISSIONING,CUMMINGS ARCHITECTS LTD,,
2019-03-13,1412.18,COMMISSIONING,DURHAM COUNTY COUNCIL,,
2019-03-13,742.61,COMMISSIONING,DURHAM COUNTY COUNCIL,,
2019-03-13,698.01,COMMISSIONING,DURHAM COUNTY COUNCIL,,
2019-03-13,626.78,COMMISSIONING,DURHAM COUNTY COUNCIL,,
2019-03-12,750.34,COMMISSIONING,DURHAM COUNTY COUNCIL,,
2019-03-28,760.99,COMMISSIONING,DURHAM COUNTY COUNCIL,,
2019-03-28,972.56,COMMISSIONING,DURHAM COUNTY COUNCIL,,
2019-03-28,626.58,COMMISSIONING,DURHAM COUNTY COUNCIL,,
2019-03-28,1066.20,COMMISSIONING,EASIBATHE LTD,,
2019-03-28,7095.00,COMMISSIONING,GHENT BUILDING CONTRACTORS,,
2019-03-28,5300.48,COMMISSIONING,SUNTER LTD,,
2019-03-28,3745.66,COMMISSIONING,SUNTER LTD,,
2019-03-28,4938.11,COMMISSIONING,SUNTER LTD,,
2019-03-28,3177.78,COMMISSIONING,SUNTER LTD,,
2019-03-28,3721.10,COMMISSIONING,SUNTER LTD,,
2019-03-28,5879.47,COMMISSIONING,SUNTER LTD,,
2019-03-12,4455.40,COMMISSIONING,SUNTER LTD,,
2019-03-13,902.5,COMMISSIONING,SUNTER LTD,,
2019-03-13,4437.42,COMMISSIONING,SUNTER LTD,,
2019-03-13,8523.85,COMMISSIONING,SUNTER LTD,,
2019-03-13,2498.21,COMMISSIONING,THYSSENKRUPP ENCASA LIMITED,,
2019-02-25,2290.92,COMMISSIONING,THYSSENKRUPP ENCASA LIMITED,,
2019-03-11,4215.00,COMMISSIONING,THYSSENKRUPP ENCASA LIMITED,,
2019-03-28,12156.99,COMMISSIONING,THYSSENKRUPP ENCASA LIMITED,,
2019-03-28,3047.68,COMMISSIONING,THYSSENKRUPP ENCASA LIMITED,,
2019-03-28,1090.00,COMMISSIONING,THYSSENKRUPP ENCASA LIMITED,,
2019-03-28,2605.00,COMMISSIONING,THYSSENKRUPP ENCASA LIMITED,,
2019-02-05,10954.00,ECONOMIC GROWTH,NORTH EAST TRUCK & VAN LTD,,
2019-03-20,51454.00,ECONOMIC GROWTH,NORTH EAST TRUCK & VAN LTD,,
2019-01-23,12250.00,ECONOMIC GROWTH,NORTHGATE VEHICLE SALES,,
2019-03-21,11280.86,ECONOMIC GROWTH,MIDDLESBROUGH BOROUGH COUNCIL,,
2019-03-12,10940.24,ECONOMIC GROWTH,NORTHERN POWERGRID (NORTHEAST) LTD,,
2019-02-27,16295.58,ECONOMIC GROWTH,RAILSCAPE LTD,,
2019-02-28,2815.00,ECONOMIC GROWTH,SGS UNITED KINGDOM LTD,,
2019-03-21,833,ECONOMIC GROWTH,SOUTHERN GREEN LIMITED,,
2019-02-20,2559.30,ECONOMIC GROWTH,WSP UK LTD,,
2019-01-31,1062.70,ECONOMIC GROWTH,DWF LLP,,
2019-02-01,8179.00,ECONOMIC GROWTH,HOMES BY ESH,,
2019-02-07,5620.00,ECONOMIC GROWTH,REDFERN BUILDING SERVICES LIMITED,,
2019-03-01,2500.00,ECONOMIC GROWTH,TRINITY CHAMBERS CROSS PAYMENT ACCOUNT,,
2019-01-31,31158.91,ECONOMIC GROWTH,WILLMOTT DIXON CONSTRUCTION LTD,,
2019-02-13,1320.00,ECONOMIC GROWTH,4Nature Ltd,,
2019-01-24,3000.00,ECONOMIC GROWTH,ESH CONSTRUCTION LIMITED,,
2019-02-28,4200.00,ECONOMIC GROWTH,QUEENSBERRY DESIGN LIMITD,,
2019-02-27,11250.00,ECONOMIC GROWTH,WARD HADAWAY SOLICITORS,,
2019-02-27,11104.00,ECONOMIC GROWTH,WARD HADAWAY SOLICITORS,,
2019-02-27,1283.00,ECONOMIC GROWTH,WARD HADAWAY SOLICITORS,,
2019-02-14,9386.20,ECONOMIC GROWTH,ARUP,,
2019-03-29,6221.00,ECONOMIC GROWTH,CA TRAFFIC,,
2019-02-28,39633.32,ECONOMIC GROWTH,ESH CONSTRUCTION LIMITED,,
2019-02-28,52978.98,ECONOMIC GROWTH,ESH CONSTRUCTION LIMITED,,
2019-02-28,3518.81,ECONOMIC GROWTH,ESH CONSTRUCTION LIMITED,,
2019-02-14,14250.00,ECONOMIC GROWTH,GROUNDWORK NORTH EAST,,
2019-02-21,1470.00,ECONOMIC GROWTH,TODD MILBURN PARTNERSHIP LTD,,
2019-02-22,52426.92,NEIGHBOURHOOD SERVICES & RESOURCES,ANGLIAN WINDOWS LTD,,
2019-02-18,700,NEIGHBOURHOOD SERVICES & RESOURCES,APEC ENVIRONMENTAL,,
2019-02-18,1120.00,NEIGHBOURHOOD SERVICES & RESOURCES,APEC ENVIRONMENTAL,,
2019-02-18,2170.00,NEIGHBOURHOOD SERVICES & RESOURCES,APEC ENVIRONMENTAL,,
2019-01-31,938,NEIGHBOURHOOD SERVICES & RESOURCES,ARROW INDUSTRIAL GROUP LTD,,
2019-02-28,1000.00,NEIGHBOURHOOD SERVICES & RESOURCES,BGP CONSULTING LIMITED,,
2019-02-28,2500.00,NEIGHBOURHOOD SERVICES & RESOURCES,BGP CONSULTING LIMITED,,
2019-03-05,972.05,NEIGHBOURHOOD SERVICES & RESOURCES,CARE-ABILITY,,
2019-01-24,820,NEIGHBOURHOOD SERVICES & RESOURCES,DTA CONSULTING ENGINEERS LLP,,
2019-02-21,820,NEIGHBOURHOOD SERVICES & RESOURCES,DTA CONSULTING ENGINEERS LLP,,
2019-02-04,148171.97,NEIGHBOURHOOD SERVICES & RESOURCES,ENGIE UK,,
2019-01-31,3307.00,NEIGHBOURHOOD SERVICES & RESOURCES,FLOWING ROOFLINES,,
2019-02-28,788.86,NEIGHBOURHOOD SERVICES & RESOURCES,FOUR SEASONS HEALTHCARE-GROSVENOR PARK,,
2019-03-07,502,NEIGHBOURHOOD SERVICES & RESOURCES,GOLDSHIELD SECURUS LIMITED,,
2019-02-21,11380.00,NEIGHBOURHOOD SERVICES & RESOURCES,GOLDSHIELD SECURUS LIMITED,,
2019-02-21,5253.30,NEIGHBOURHOOD SERVICES & RESOURCES,HODGSON  SAYERS LIMITED,,
2019-02-28,571.15,NEIGHBOURHOOD SERVICES & RESOURCES,MASTERDOR  LTD,,
2019-02-28,554.91,NEIGHBOURHOOD SERVICES & RESOURCES,MASTERDOR  LTD,,
2019-02-14,1434.06,NEIGHBOURHOOD SERVICES & RESOURCES,MASTERDOR  LTD,,
2019-02-14,583.26,NEIGHBOURHOOD SERVICES & RESOURCES,MASTERDOR  LTD,,
2019-02-14,1648.86,NEIGHBOURHOOD SERVICES & RESOURCES,MASTERDOR  LTD,,
2019-03-20,838.71,NEIGHBOURHOOD SERVICES & RESOURCES,MASTERDOR  LTD,,
2019-03-20,3608.55,NEIGHBOURHOOD SERVICES & RESOURCES,MASTERDOR  LTD,,
2019-02-12,39128.00,NEIGHBOURHOOD SERVICES & RESOURCES,MITIE PROPERTY SERVICES (NORTH EAST) LTD,,
2019-02-27,1472.00,NEIGHBOURHOOD SERVICES & RESOURCES,SCHOTT REMOVALS TRANSPORT LTD,,
2019-02-21,698.49,NEIGHBOURHOOD SERVICES & RESOURCES,WESTWOOD TIMBER & FENCING,,
2019-02-20,1184.60,NEIGHBOURHOOD SERVICES & RESOURCES,WESTWOOD TIMBER & FENCING,,
2019-02-12,809.51,NEIGHBOURHOOD SERVICES & RESOURCES,WESTWOOD TIMBER & FENCING,,
