Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2010-12-07,384,Central Services,FORCE TWO LTD,,
2010-12-07,430,Central Services,FORCE TWO LTD,,
2010-12-07,860,Central Services,FORCE TWO LTD,,
2010-12-31,9500,Central Services,POINT TO POINT LTD,,
2010-12-22,12120,Central Services,PINSENT MASONS,,
2010-12-22,4099.33,Central Services,TREATMENT SOLUTIONS,,
2010-12-16,50,Central Services,GATESHEAD CENTRAL TAXIS,,
2010-12-13,5000,Central Services,R I B A ENTERPRISES LTD,,
2010-12-08,518,Central Services,CLAVERING STATIONERS,,
2010-12-16,5619.25,Central Services,NATIONAL LEAFLET COMPANY,,
2010-12-15,1260,Central Services,CENTURY SIGNS & GRAPHICS,,
2010-12-02,615.35,Central Services,HOGG NEWS,,
2010-12-02,133.67,Central Services,HOGG NEWS,,
2010-12-02,218.31,Central Services,HOGG NEWS,,
2010-12-02,49.85,Central Services,HOGG NEWS,,
2010-12-02,2.38,Central Services,HOGG NEWS,,
2010-12-02,10,Central Services,HOGG NEWS,,
2010-12-02,16.02,Central Services,HOGG NEWS,,
2010-12-22,674.6,Central Services,LEANDER ARCHITECTURAL,,
2010-12-09,535.7,Central Services,ONLINE ERGONOMICS LTD,,
2010-12-06,1026,Central Services,FIRSTASSIST SERVICES LIMITED,,
2010-12-23,1026,Central Services,FIRSTASSIST SERVICES LIMITED,,
2010-12-13,636.7,Central Services,COMPUTERLAND UK PLC,,
2010-12-23,402,Central Services,NCJ MEDIA LTD,,
2010-12-15,8387.67,Central Services,GENETICS LIMITED,,
2010-12-23,2350,Central Services,DTZ UK LAND ESTATES (SERVICES) LTD,,
2010-12-23,893,Central Services,DTZ UK LAND ESTATES (SERVICES) LTD,,
2010-12-14,5194,Central Services,SIEMENS ENTERPRISE COMMUNICATIONS LTD,,
2010-12-13,500,Central Services,FISHBURN BAND,,
2010-12-22,6486.43,Central Services,DELL FINANCIAL SERVICES,,
2010-12-22,7329.53,Central Services,DELL FINANCIAL SERVICES,,
2010-12-08,24.5,Central Services,ROSSENDALES COLLECT LTD,,
2010-12-22,464.63,Central Services,LOOMIS UK LTD,,
2010-12-14,15731,Central Services,ENGAGE GROUP,,
2010-12-14,8884.26,Central Services,ENGAGE GROUP,,
2010-12-02,1298,Central Services,CIVICA UK LTD,,
2010-12-01,4300,Central Services,NORTHGATEARINSO,,
2010-12-01,43187.5,Central Services,NORTHGATEARINSO,,
2010-12-17,673.24,Central Services,OMNICOM IT SERVICES,,
2010-12-23,1233.69,Central Services,OMNICOM IT SERVICES,,
2010-12-31,1749,Central Services,COOL BREEZE LTD,,
2010-12-16,640,Central Services,CAPITA BUSINESS SERVICES LTD,,
2010-12-20,13826.25,Central Services,CAPITA BUSINESS SERVICES LTD,,
2010-12-20,1662.5,Central Services,CAPITA BUSINESS SERVICES LTD,,
2010-12-31,1296,Central Services,DJM FABRICATIONS LTD,,
2010-12-31,6296,Central Services,DJM FABRICATIONS LTD,,
2010-12-15,4870,Central Services,OPAL COMPUTER SOLUTIONS,,
2010-12-21,416,Central Services,E-BOX LTD,,
2010-12-23,402,Central Services,CHESHIRE SCIENTIFIC LTD,,
2010-12-31,401,Central Services,SOFTCAT,,
2010-12-14,8850,Central Services,QA LTD,,
2010-12-08,489.95,Central Services,BEAMISH MUSEUM LTD,,
2010-12-06,1620,Central Services,RENWICK FRAMING,,
2010-12-02,596.44,Central Services,COMENSURA LTD,,
2010-12-02,4.4,Central Services,COMENSURA LTD,,
2010-12-02,795.15,Central Services,COMENSURA LTD,,
2010-12-02,379.78,Central Services,COMENSURA LTD,,
2010-12-02,749.97,Central Services,COMENSURA LTD,,
2010-12-02,922.24,Central Services,COMENSURA LTD,,
2010-12-02,978.48,Central Services,COMENSURA LTD,,
2010-12-02,319.2,Central Services,COMENSURA LTD,,
2010-12-09,749.97,Central Services,COMENSURA LTD,,
2010-12-09,596.44,Central Services,COMENSURA LTD,,
2010-12-09,547.33,Central Services,COMENSURA LTD,,
2010-12-09,749.97,Central Services,COMENSURA LTD,,
2010-12-09,658.75,Central Services,COMENSURA LTD,,
2010-12-09,801.81,Central Services,COMENSURA LTD,,
2010-12-09,343.55,Central Services,COMENSURA LTD,,
2010-12-15,749.97,Central Services,COMENSURA LTD,,
2010-12-15,596.44,Central Services,COMENSURA LTD,,
2010-12-15,749.97,Central Services,COMENSURA LTD,,
2010-12-15,681.37,Central Services,COMENSURA LTD,,
2010-12-15,1185.74,Central Services,COMENSURA LTD,,
2010-12-15,1005.66,Central Services,COMENSURA LTD,,
2010-12-15,443.64,Central Services,COMENSURA LTD,,
2010-12-15,39.11,Central Services,COMENSURA LTD,,
2010-12-15,463.77,Central Services,COMENSURA LTD,,
2010-12-22,596.44,Central Services,COMENSURA LTD,,
2010-12-22,749.97,Central Services,COMENSURA LTD,,
2010-12-22,9.06,Central Services,COMENSURA LTD,,
2010-12-22,759.56,Central Services,COMENSURA LTD,,
2010-12-22,749.97,Central Services,COMENSURA LTD,,
2010-12-22,749.97,Central Services,COMENSURA LTD,,
2010-12-22,1185.76,Central Services,COMENSURA LTD,,
2010-12-22,1005.66,Central Services,COMENSURA LTD,,
2010-12-22,419.29,Central Services,COMENSURA LTD,,
2010-12-22,466.88,Central Services,COMENSURA LTD,,
2010-12-22,20.51,Central Services,COMENSURA LTD,,
2010-12-30,749.97,Central Services,COMENSURA LTD,,
2010-12-30,446.8,Central Services,COMENSURA LTD,,
2010-12-30,456.06,Central Services,COMENSURA LTD,,
2010-12-30,596.44,Central Services,COMENSURA LTD,,
2010-12-30,774.63,Central Services,COMENSURA LTD,,
2010-12-30,922.25,Central Services,COMENSURA LTD,,
2010-12-30,335.42,Central Services,COMENSURA LTD,,
2010-12-22,1947,Central Services,UNITED CARLTON OFFICE SYSTEMS,,
2010-12-22,1351.09,Central Services,LANWAY CBS LTD,,
2010-12-02,780,Central Services,CIPFA BUSINESS LIMITED,,
2010-12-10,384.43,Central Services,REED SPECIALIST RECRUITMENT,,
2010-12-10,384.43,Central Services,REED SPECIALIST RECRUITMENT,,
2010-12-14,384.43,Central Services,REED SPECIALIST RECRUITMENT,,
2010-12-14,384.43,Central Services,REED SPECIALIST RECRUITMENT,,
2010-12-01,371.7,Central Services,REED SPECIALIST RECRUITMENT,,
2010-12-17,1850,Central Services,ERNST & YOUNG LLP,,
2010-12-10,175.74,Central Services,VIRGIN MEDIA BUSINESS,,
2010-12-10,250.7,Central Services,VIRGIN MEDIA BUSINESS,,
2010-12-10,3728.78,Central Services,VIRGIN MEDIA BUSINESS,,
2010-12-10,375,Central Services,VIRGIN MEDIA BUSINESS,,
2010-12-10,2202.39,Central Services,VIRGIN MEDIA BUSINESS,,
2010-12-10,397.44,Central Services,VIRGIN MEDIA BUSINESS,,
2010-12-10,549.24,Central Services,VIRGIN MEDIA BUSINESS,,
2010-12-10,990.42,Central Services,VIRGIN MEDIA BUSINESS,,
2010-12-23,7490.18,Central Services,VIRGIN MEDIA BUSINESS,,
2010-12-09,3680,Central Services,VIRGIN MEDIA BUSINESS,,
2010-12-09,467.81,Central Services,VIRGIN MEDIA BUSINESS,,
2010-12-09,1127,Central Services,VIRGIN MEDIA BUSINESS,,
2010-12-09,830,Central Services,VIRGIN MEDIA BUSINESS,,
2010-12-09,2942,Central Services,VIRGIN MEDIA BUSINESS,,
2010-12-09,2400,Central Services,VIRGIN MEDIA BUSINESS,,
2010-12-09,2400,Central Services,VIRGIN MEDIA BUSINESS,,
2010-12-22,626.52,Central Services,OFFICE TEAM LTD,,
2010-12-13,728.3,Central Services,VERY PC LTD,,
2010-12-21,1000,Central Services,UNIT4 BUSINESS SOFTWARE LTD,,
2010-12-21,105,Central Services,UNIT4 BUSINESS SOFTWARE LTD,,
2010-12-06,387.69,Central Services,ANTALIS MCNAUGHTON LTD,,
2010-12-06,1446,Central Services,ANTALIS MCNAUGHTON LTD,,
2010-12-06,1560,Central Services,ANTALIS MCNAUGHTON LTD,,
2010-12-06,699,Central Services,ANTALIS MCNAUGHTON LTD,,
2010-12-16,2700,Central Services,MAGIQUE GALILEO SOFTWARE LIMITED,,
2010-12-31,2956,Central Services,MAGIQUE GALILEO SOFTWARE LIMITED,,
2010-12-07,2441.89,Central Services,ALBANY OFFICE EQUIP(W/SALE)LTD,,
2010-12-07,4299.06,Central Services,ALBANY OFFICE EQUIP(W/SALE)LTD,,
2010-12-07,560.63,Central Services,ALBANY OFFICE EQUIP(W/SALE)LTD,,
2010-12-20,14118.75,Central Services,AUDIT COMMISSION,,
2010-12-20,29145.5,Central Services,AUDIT COMMISSION,,
2010-12-23,410,Central Services,R DINNING LTD,,
2010-12-07,1500,Central Services,NORTHUMBRIA UNIVERSITY,,
2010-12-20,515.45,Central Services,NEWEY & EYRE LTD,,
2010-12-23,2258.09,Central Services,BRITISH TELECOM,,
2010-12-23,102.58,Central Services,BRITISH TELECOM,,
2010-12-23,2061.82,Central Services,BRITISH TELECOM,,
2010-12-08,977.94,Central Services,ROYAL MAIL,,
2010-12-08,261.6,Central Services,ROYAL MAIL,,
2010-12-08,168.17,Central Services,ROYAL MAIL,,
2010-12-08,54.22,Central Services,ROYAL MAIL,,
2010-12-08,2559.3,Central Services,ROYAL MAIL,,
2010-12-08,535.78,Central Services,ROYAL MAIL,,
2010-12-09,307.26,Central Services,ROYAL MAIL,,
2010-12-09,212.98,Central Services,ROYAL MAIL,,
2010-12-09,60.92,Central Services,ROYAL MAIL,,
2010-12-09,60.7,Central Services,ROYAL MAIL,,
2010-12-09,924.26,Central Services,ROYAL MAIL,,
2010-12-09,800.42,Central Services,ROYAL MAIL,,
2010-12-23,995.34,Central Services,ROYAL MAIL,,
