Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2018-09-13,200.00,Adults and Health,(Aso) Association For The Study Of,,
2018-09-21,79.00,Resources and Housing,A & A Electrical Distributors Ltd,,
2018-08-30,43.32,Communities and Environment,A & E Squire Ltd,,
2018-09-21,119.00,Children and Families,REDACTED PERSONAL DATA,,
2018-09-21,446.25,Children and Families,REDACTED PERSONAL DATA,,
2018-09-07,500.00,City Development,A D Todd,,
2018-09-19,2142.00,Children and Families,REDACTED PERSONAL DATA,,
2018-09-21,3748.50,Children and Families,REDACTED PERSONAL DATA,,
2018-09-21,99457.08,City Development,A E Yates Ltd,,
2018-09-26,336130.69,City Development,A E Yates Ltd,,
2018-09-21,1011.50,Children and Families,REDACTED PERSONAL DATA,,
2018-09-21,520.63,Children and Families,REDACTED PERSONAL DATA,,
2018-09-21,223.13,Children and Families,REDACTED PERSONAL DATA,,
2018-09-19,138.80,Resources and Housing,A Haythornthwaite,,
2018-09-21,223.13,Children and Families,REDACTED PERSONAL DATA,,
2018-09-21,446.25,Children and Families,REDACTED PERSONAL DATA,,
2018-09-07,454.00,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-07,876.50,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-07,59.00,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-14,146.00,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-14,659.60,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-14,117.00,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-14,265.00,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-14,36.50,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-14,31.03,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-14,45.94,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-14,40.50,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-14,227.80,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-14,83.75,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-14,218.70,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-14,211.95,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-14,336.00,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-14,30.00,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-14,157.12,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-14,197.70,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-20,1823.90,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-25,112.47,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-25,28.00,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-25,475.32,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-25,38.00,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-28,245.08,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-28,39.42,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-28,191.15,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-28,323.67,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-28,3.72,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-28,22.50,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-28,2100.00,Resources and Housing,A J H  Pump Supply & Repair Ltd,,
2018-09-10,43.80,Communities and Environment,A J Promotions,,
2018-09-10,720.00,Communities and Environment,A J Promotions,,
2018-09-19,101.90,City Development,A J Promotions,,
2018-09-19,415.00,Communities and Environment,A J Promotions,,
2018-09-19,345.00,City Development,A J Promotions,,
2018-09-28,463.60,City Development,A J Promotions,,
2018-09-14,460.00,City Development,A J Wightman,,
2018-09-19,535.50,Children and Families,REDACTED PERSONAL DATA,,
2018-09-21,297.50,Children and Families,REDACTED PERSONAL DATA,,
2018-09-11,459.37,Communities and Environment,A Little Something Extra Ltd,,
2018-09-06,63.50,Communities and Environment,A Musalam,,
2018-09-04,401.25,Communities and Environment,A Namaki,,
2018-09-13,65.00,Resources and Housing,A Star Couriers Ltd,,
2018-09-13,92.50,Resources and Housing,A Star Couriers Ltd,,
2018-09-21,81.25,Resources and Housing,A Star Couriers Ltd,,
2018-09-18,75.00,Communities and Environment,A Strniskova,,
2018-09-28,450.00,City Development,A T Graphics Limited,,
2018-09-19,116.03,Children and Families,REDACTED PERSONAL DATA,,
2018-09-21,42.50,Children and Families,REDACTED PERSONAL DATA,,
2018-09-19,267.75,Children and Families,REDACTED PERSONAL DATA,,
2018-09-21,223.13,Children and Families,REDACTED PERSONAL DATA,,
2018-09-21,471.75,Children and Families,REDACTED PERSONAL DATA,,
2018-09-20,8250.00,Insurance,REDACTED PERSONAL DATA,,
2018-09-28,650.00,Resources and Housing,Aatsham Ul'Haq,,
2018-09-07,340.00,Adults and Health,Ab Cars,,
2018-08-14,174.84,Communities and Environment,Abacus Cards Ltd,,
2018-09-05,31.02,Children and Families,Abacus Express Limited,,
2018-09-05,31.02,Children and Families,Abacus Express Limited,,
2018-09-05,76.79,Children and Families,Abacus Express Limited,,
2018-09-05,286.49,City Development,Abacus Express Limited,,
2018-09-07,15.59,City Development,Abacus Express Limited,,
2018-09-19,1556.00,Adults and Health,Abbendon Nursing Home,,
2018-09-19,1852.00,Adults and Health,Abbey Grange Nursing Home,,
2018-09-20,16.25,Communities and Environment,Abbey House Veterinary Hospital,,
2018-09-21,38.59,Communities and Environment,Abbey House Veterinary Hospital,,
2018-09-21,50.00,Communities and Environment,Abbey House Veterinary Hospital,,
2018-09-28,51.59,Communities and Environment,Abbey House Veterinary Hospital,,
2018-09-19,2428.88,Children and Families,Abc Daycare And Ozone Out Of School,,
2018-09-21,6815.94,Children and Families,Abc Daycare And Ozone Out Of School,,
2018-09-19,1338.75,Children and Families,Abc Nursery At Lufc,,
2018-09-21,11481.38,Children and Families,Abc Nursery At Lufc,,
2018-09-19,1071.00,Children and Families,Abc@D'S Childcare Services,,
2018-09-21,6024.38,Children and Families,Abc@D'S Childcare Services,,
2018-09-04,217.25,Communities and Environment,Abdulahad Denha,,
2018-09-19,48664.35,Adults and Health,Aberford Hall,,
2018-09-19,3517.84,Adults and Health,Aberford Hall,,
2018-09-19,1545.72,Adults and Health,Aberford Hall,,
2018-09-20,260.45,Resources and Housing,Abi Garage Doors Ltd,,
2018-09-21,520.92,Resources and Housing,Abi Garage Doors Ltd,,
2018-08-07,6.00,City Development,Abo Leeds,,
2018-08-21,309.63,City Development,Absoluteproduct.Co,,
2018-08-24,31.92,City Development,Absoluteproduct.Co,,
2018-09-07,504.00,Children and Families,Academic Appointments Ltd,,
2018-09-13,1260.00,Children and Families,Academic Appointments Ltd,,
2018-09-14,834.29,Communities and Environment,Access Hire Nationwide Ltd,,
2018-09-14,355.00,Communities and Environment,Access Hire Nationwide Ltd,,
2018-09-21,461.23,Communities and Environment,Access Hire Nationwide Ltd,,
2018-08-16,636.05,Resources and Housing,Access Locksmiths,,
2018-09-03,719.43,Strategic Landlord,Access Locksmiths (Leeds) Limited,,
2018-09-04,7717.80,Strategic Landlord,Access Locksmiths (Leeds) Limited,,
2018-09-04,135.08,Strategic Landlord,Access Locksmiths (Leeds) Limited,,
2018-09-04,29.40,Strategic Landlord,Access Locksmiths (Leeds) Limited,,
2018-09-07,163.12,Strategic Landlord,Access Locksmiths (Leeds) Limited,,
2018-09-07,139.03,Strategic Landlord,Access Locksmiths (Leeds) Limited,,
2018-09-14,9.52,Resources and Housing,Access Locksmiths (Leeds) Limited,,
2018-09-14,165.30,Strategic Landlord,Access Locksmiths (Leeds) Limited,,
2018-09-14,130.00,Strategic Landlord,Access Locksmiths (Leeds) Limited,,
2018-09-14,99.08,Strategic Landlord,Access Locksmiths (Leeds) Limited,,
2018-09-14,52.50,Strategic Landlord,Access Locksmiths (Leeds) Limited,,
2018-09-14,36.82,Communities and Environment,Access Locksmiths (Leeds) Limited,,
2018-09-26,31.26,Strategic Landlord,Access Locksmiths (Leeds) Limited,,
2018-09-28,40.56,Strategic Landlord,Access Locksmiths (Leeds) Limited,,
2018-09-28,22.80,Strategic Landlord,Access Locksmiths (Leeds) Limited,,
2018-09-28,7.50,Strategic Landlord,Access Locksmiths (Leeds) Limited,,
2018-09-28,68.40,Strategic Landlord,Access Locksmiths (Leeds) Limited,,
2018-09-28,63.20,Strategic Landlord,Access Locksmiths (Leeds) Limited,,
2018-09-28,31.54,Resources and Housing,Access Locksmiths (Leeds) Limited,,
2018-09-28,31.50,Resources and Housing,Access Locksmiths (Leeds) Limited,,
2018-09-28,8.92,Resources and Housing,Access Locksmiths (Leeds) Limited,,
2018-09-28,16.99,Resources and Housing,Access Locksmiths (Leeds) Limited,,
2018-09-28,20.65,Resources and Housing,Access Locksmiths (Leeds) Limited,,
2018-09-28,26.73,Resources and Housing,Access Locksmiths (Leeds) Limited,,
2018-09-28,26.73,Resources and Housing,Access Locksmiths (Leeds) Limited,,
2018-09-28,26.73,Resources and Housing,Access Locksmiths (Leeds) Limited,,
2018-09-28,16.05,Resources and Housing,Access Locksmiths (Leeds) Limited,,
2018-09-28,10.00,Resources and Housing,Access Locksmiths (Leeds) Limited,,
