Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2015-01-19,8636850.00,Housing,LONDON BOROUGH OF LAMBETH,,
2015-01-20,6888100.00,Housing,LONDON BOROUGH OF HAVERING,,
2015-01-14,3993812.00,Housing,L B OF HARINGEY,,
2015-01-27,3546405.00,Housing,LONDON BOROUGH OF SUTTON,,
2015-01-20,2975765.00,Housing,LONDON BOROUGH OF HACKNEY - BSP,,
2015-01-27,2338050.00,Housing,ONE HOUSING GROUP LIMITED,,
2015-01-09,2152493.15,Housing,EVERSHEDS LLP(LONDON),,
2015-01-09,1428717.33,Housing,EVERSHEDS LLP(LONDON),,
2015-01-21,1070000.00,Housing & Land,CALVERT SOLICITORS LLP,,
2015-01-15,899250.00,Housing,L B SOUTHWARK,,
2015-01-15,854166.82,External Affairs,JACK MORTON WORLDWIDE,,
2015-01-21,663000.00,Housing,LB CAMDEN,,
2015-01-12,657438.77,Housing,LONDON BOROUGH OF HAVERING,,
2015-01-08,519000.00,Housing,ISLINGTON COUNCIL,,
2015-01-30,480000.00,Housing,LONDON BOROUGH OF HAVERING,,
2015-01-06,417210.00,Housing,NETWORK HOUSING GROUP LIMITED,,
2015-01-16,384147.96,Housing,THE SILVERTOWN PARTNERSHIP LLP,,
2015-01-13,371718.07,Housing,POCKET LIVING 2013 LLP,,
2015-01-07,370020.00,Housing,THAMES VALLEY HOUSING ASSOCIATION L,,
2015-01-30,367500.00,Housing,ESTUARY HOUSING ASSOCIATION LIMITED,,
2015-01-09,344747.00,Housing,NOTTING HILL HOUSING TRUST,,
2015-01-29,340119.00,Housing,ORBIT HOUSING GROUP LTD,,
2015-01-23,195000.00,Housing,LB CAMDEN,,
2015-01-30,180000.00,Housing,ESTUARY HOUSING ASSOCIATION LIMITED,,
2015-01-09,175092.00,Development & Environment,THE NATIONAL GALLERY,,
2015-01-22,173500.00,Housing,LONDON AND QUADRANT HOUSING TRUST,,
2015-01-15,168812.00,Housing,THAMES VALLEY HOUSING ASSOCIATION L,,
2015-01-09,157500.00,Housing,ISLINGTON COUNCIL,,
2015-01-28,146915.00,Communities and Intelligence,THE FOSTERING NETWORK,,
2015-01-06,145102.00,Housing,CATALYST COMMUNITIES HOUSING,,
2015-01-29,142841.00,Housing,ORBIT HOUSING GROUP LTD,,
2015-01-28,140400.00,Communities and Intelligence,RICHMOND PARK ACADEMY,,
2015-01-26,137562.00,Housing,NOTTING HILL HOUSING TRUST,,
2015-01-15,137264.00,Housing,THAMES VALLEY HOUSING ASSOCIATION L,,
2015-01-19,115479.00,Housing,PARAGON COMMUNITY HOUSING GROUP LTD,,
2015-01-14,98660.41,Housing,CAPITA SYMONDS LTD,,
2015-01-07,90000.00,Communities and Intelligence,SQW CONSULTING,,
2015-01-27,86424.64,Development & Environment,SKILLS FUNDING AGENCY,,
2015-01-30,80220.00,Housing,WANDLE HOUSING ASSOCIATION LIMITED,,
2015-01-27,78840.00,Housing,MOAT HOUSING SOCIETY LIMITED,,
2015-01-07,78576.50,Housing,SAINT JOHN OF GOD HOSPITALLER SERVI,,
2015-01-27,78540.00,Housing,MOAT HOUSING SOCIETY LIMITED,,
2015-01-14,76502.39,Housing,CAPITA SYMONDS LTD,,
2015-01-05,75071.55,Housing,BAKER TILLY BUSINESS SERV LTD,,
2015-01-20,75019.48,Housing & Land,W A FAIRHURST & PARTNERS,,
2015-01-08,73000.00,Resources,LPFA,,
2015-01-20,72925.00,Communities and Intelligence,TRINITY LABAN CONSERVATOIRE,,
2015-01-07,70000.00,Communities and Intelligence,REAL ACTION (QPCT) LTD,,
2015-01-20,62337.01,Communities and Intelligence,LEARNING UNLIMITED LTD,,
2015-01-15,61984.00,Housing,PEABODY TRUST,,
2015-01-29,60000.00,Housing,NOTTING HILL HOUSING TRUST,,
2015-01-29,60000.00,Housing,NOTTING HILL HOUSING TRUST,,
2015-01-29,60000.00,Housing,NOTTING HILL HOUSING TRUST,,
