Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2016-11-30,14454531.00,FUNCTIONAL BODY GRANT PAYMENT,TRANSPORT FOR LONDON,,
2016-12-01,4000000.00,GRANTS TO EXTERNAL ORGANISATIONS,TRANSPORT FOR LONDON,,
2016-12-01,1558700.00,HSG GRANTS TO REGISTERED PROVIDERS,ONE HOUSING GROUP LIMITED,,
2016-12-01,1500000.00,HSG GRANTS TO REGISTERED PROVIDERS,ONE HOUSING GROUP LIMITED,,
2016-12-09,1372737.00,HSG GRANTS TO REGISTERED PROVIDERS,A2 DOMINION LONDON LTD,,
2016-11-14,1300000.00,FUNCTIONAL BODY GRANT PAYMENT,LLDC,,
2016-11-28,1125167.49,GRANTS TO EXTERNAL ORGANISATIONS,CITY OF WESTMINSTER COLLEGE,,
2016-11-21,651000.00,FUNCTIONAL BODY GRANT PAYMENT,LLDC,,
2016-11-18,629348.00,HSG GRANTS TO REGISTERED PROVIDERS,LHA-ASRA GROUP LIMITED,,
2016-11-28,465000.00,FUNCTIONAL BODY GRANT PAYMENT,LLDC,,
2016-11-18,397596.00,HSG GRANTS TO REGISTERED PROVIDERS,LHA-ASRA GROUP LIMITED,,
2016-11-18,354917.20,NON RECYCLABLE WASTE DISPOSAL/REFUSE COLLECTION,SENECA ENVIRONMENTAL SOLUTIONS LTD,,
2016-12-07,350000.00,HSG GRANTS TO NON-REGISTERED PROVIDERS,TELFORD HOMES PLC,,
2016-11-21,316000.00,GRANTS TO EXTERNAL ORGANISATIONS,MUSEUM OF LONDON,,
2016-12-05,300000.00,GRANTS TO EXTERNAL ORGANISATIONS,ENERGY SAVING TRUST LTD,,
2016-11-18,272179.00,HSG GRANTS TO REGISTERED PROVIDERS,LHA-ASRA GROUP LIMITED,,
2016-12-09,259707.00,HSG GRANTS TO REGISTERED PROVIDERS,A2 DOMINION LONDON LTD,,
2016-11-14,240000.00,GRANTS TO EXTERNAL ORGANISATIONS,FILM LONDON LTD,,
2016-12-09,240000.00,HSG GRANTS TO REGISTERED PROVIDERS,A2 DOMINION LONDON LTD,,
2016-12-09,236250.00,HSG GRANTS TO REGISTERED PROVIDERS,A2 DOMINION LONDON LTD,,
2016-11-28,218780.69,GRANTS TO EXTERNAL ORGANISATIONS,RICHMOND UPON THAMES COLLEGE,,
2016-11-30,210000.00,HSG GRANTS TO REGISTERED PROVIDERS,SANCTUARY HOUSING ASSOCIATION,,
2016-11-30,157500.00,HSG GRANTS TO REGISTERED PROVIDERS,SANCTUARY HOUSING ASSOCIATION,,
2016-12-02,140587.14,GRANTS TO EXTERNAL ORGANISATIONS,WALTHAM FOREST COLLEGE,,
2016-11-30,139174.07,GRANTS TO EXTERNAL ORGANISATIONS,LAMBETH COLLEGE,,
2016-12-09,134866.35,HSG-ROUGH SLEEPING,ST MUNGOS,,
2016-12-09,134866.35,HSG-ROUGH SLEEPING,ST MUNGOS,,
2016-11-16,130527.87,GRANTS TO EXTERNAL ORGANISATIONS,BRITISH FASHION COUNCIL,,
2016-11-25,123568.29,GRANTS TO EXTERNAL ORGANISATIONS,WESTMINSTER CITY COUNCIL,,
2016-11-28,105457.18,PROPERTY MANAGEMENT FEES,RODMA,,
2016-12-02,100000.00,GRANTS TO EXTERNAL ORGANISATIONS,MEDCITY LTD,,
2016-11-14,84410.29,CONSULTANCY-PROJECT MANAGEMENT,TURNER & TOWNSEND PROJECT MAGAG,,
2016-11-17,81823.00,MISCELLANEOUS COSTS,HM TREASURY,,
2016-11-21,79076.75,PROPERTY SERVICE CHARGES,MORE LONDON,,
2016-11-29,77355.94,GENERAL INSURANCE,AJ GALLAGHER,,
2016-11-28,76987.76,CONSULTANCY-PROJECT MANAGEMENT,TURNER & TOWNSEND PROJECT MAGAG,,
2016-12-05,74741.93,COMPUTER HARDWARE,INSIGHT DIRECT UK LIMITED,,
2016-11-18,73129.17,LEGAL FEES,HERBERT SMITH FREEHILLS LLP,,
2016-11-25,71929.52,GRANTS TO EXTERNAL ORGANISATIONS,LB BEXLEY,,
2016-12-01,66000.00,HSG GRANTS TO REGISTERED PROVIDERS,SANCTUARY HOUSING ASSOCIATION,,
2016-11-17,65254.00,CONSULTANCY-PROJECT MANAGEMENT,KEYTREE LTD,,
2016-12-05,63568.05,GRANTS TO EXTERNAL ORGANISATIONS,LONDON SPORT LTD,,
2016-11-29,60000.00,GRANTS TO EXTERNAL ORGANISATIONS,FILM LONDON LTD,,
2016-12-09,58500.00,HSG GRANTS TO NON-REGISTERED PROVIDERS,TELFORD HOMES PLC,,
2016-12-09,56000.00,HSG GRANTS TO REGISTERED PROVIDERS,A2 DOMINION LONDON LTD,,
2016-11-16,55462.17,GRANTS TO EXTERNAL ORGANISATIONS,REED IN PARTNERSHIP LIMITED,,
2016-12-06,55450.50,CONSULTANCY-PROJECT MANAGEMENT,KEYTREE LTD,,
2016-11-14,53125.00,COMMERCIAL PROPERTY RENT,DRON & WRIGHT PROP CONS,,
2016-11-29,52500.00,HSG GRANTS TO LOCAL AUTHORITIES,ISLINGTON COUNCIL,,
2016-11-22,52498.00,HSG-ROUGH SLEEPING,ST MUNGOS,,
2016-12-09,51673.00,GRANTS TO EXTERNAL ORGANISATIONS,FOOTBALL FOUNDATION,,
2016-11-23,49263.25,BUILDING MAINTENANCE & REPAIRS,CBRE MANAGED SERVICES LIMITED,,
2016-12-02,47317.00,GRANTS TO EXTERNAL ORGANISATIONS,FOOTBALL FOUNDATION,,
2016-11-21,43000.00,FUNCTIONAL BODY GRANT PAYMENT,LONDON TRAVELWATCH,,
2016-11-28,42955.94,OFFICE CLEANING,ABM GROUP UK LTD,,
2016-12-05,42000.00,GRANTS TO EXTERNAL ORGANISATIONS,PROJECT ORACLE,,
2016-12-06,40000.00,INCOME MAX EXPENSES,LONDON BOROUGH OF HARROW,,
2016-12-01,40000.00,HSG GRANTS TO LOCAL AUTHORITIES,LONDON BOROUGH OF HAVERING,,
