Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2018-08-09,93925.00,Information Technology,1Spatial Group Ltd,,
2018-08-07,152593.00,Information Technology,1Spatial Group Ltd,,
2018-08-06,42058.00,Land & Property Acquisitions (incl. Business Consultancy),23red Ltd,,
2018-08-06,29873.00,Land & Property Acquisitions (incl. Business Consultancy),23red Ltd,,
2018-08-01,25054.50,Electrification and Fixed Plant,ABB Ltd,,
2018-08-01,69046.50,Electrification and Fixed Plant,ABB Ltd,,
2018-08-27,26857.50,Electrification and Fixed Plant,ABB Ltd,,
2018-08-10,947918.87,Electrification and Fixed Plant,ABB Ltd,,
2018-08-07,464213.15,Electrification and Fixed Plant,ABC Electrification Ltd,,
2018-08-08,3041668.52,Electrification and Fixed Plant,ABC Electrification Ltd,,
2018-08-09,106658.77,Electrification and Fixed Plant,ABC Electrification Ltd,,
2018-08-16,104764.31,Track,AECOM Infrastructure & Environment UK Ltd,,
2018-08-16,70512.48,Track,AECOM Infrastructure & Environment UK Ltd,,
2018-08-17,38414.37,Professional Services Direct,AECOM Infrastructure & Environment UK Ltd,,
2018-08-17,47548.71,Professional Services Direct,AECOM Infrastructure & Environment UK Ltd,,
2018-08-27,32716.04,Professional Services Direct,AECOM Infrastructure & Environment UK Ltd,,
2018-08-02,77614.30,Track,AECOM Infrastructure & Environment UK Ltd,,
2018-08-14,83588.39,General Civils,AECOM Infrastructure & Environment UK Ltd,,
2018-08-08,27366.80,Professional Services Direct,AECOM Infrastructure & Environment UK Ltd,,
2018-08-08,79439.60,Land & Property Acquisitions (incl. Business Consultancy),AECOM Infrastructure & Environment UK Ltd,,
2018-08-02,215383.85,Track,AECOM Infrastructure & Environment UK Ltd,,
2018-08-04,61539.10,Track,AECOM Infrastructure & Environment UK Ltd,,
2018-08-03,93197.20,Track,AECOM Infrastructure & Environment UK Ltd,,
2018-08-09,157671.74,Track,AECOM Infrastructure & Environment UK Ltd,,
2018-08-03,42895.56,Track,AECOM Infrastructure & Environment UK Ltd,,
2018-08-02,85083.08,Track,AECOM Infrastructure & Environment UK Ltd,,
2018-08-02,58150.00,Track,AECOM Infrastructure & Environment UK Ltd,,
2018-08-02,72318.91,Track,AECOM Infrastructure & Environment UK Ltd,,
2018-08-02,221182.00,Track,AECOM Infrastructure & Environment UK Ltd,,
2018-08-02,116276.18,Track,AECOM Infrastructure & Environment UK Ltd,,
2018-08-03,178137.22,Track,AECOM Infrastructure & Environment UK Ltd,,
2018-08-13,187758.90,Track,AECOM Infrastructure & Environment UK Ltd,,
2018-08-03,85001.06,Track,AECOM Infrastructure & Environment UK Ltd,,
2018-08-12,32559.42,Professional Services Direct,AECOM Infrastructure & Environment UK Ltd,,
2018-08-17,74637.74,General Civils,AECOM Ltd,,
2018-08-19,338925.70,Professional Services Direct,AECOM Ltd,,
2018-08-17,236160.68,General Civils,AECOM Ltd,,
2018-08-27,310685.28,General Civils,AECOM Ltd,,
2018-08-17,56191.80,General Civils,AECOM Ltd,,
2018-08-27,76215.05,General Civils,AECOM Ltd,,
2018-08-06,559059.80,General Civils,AECOM Ltd,,
2018-08-06,166430.29,Professional Services Direct,AECOM Ltd,,
2018-08-06,146431.65,Professional Services Direct,AECOM Ltd,,
2018-08-03,31804.00,Electrification and Fixed Plant,AEG Power Solutions Ltd,,
2018-08-08,39431.16,Electrification and Fixed Plant,AM1 Projects Ltd,,
2018-08-08,48135.00,Electrification and Fixed Plant,AM1 Projects Ltd,,
2018-08-21,57250.00,Information Technology,AMT Sybex,,
