Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2018-10-16,1540,People,18 SEA VIEW VILLAS,,
2018-10-15,25707.14,People,A SIGNIFICANT OTHER LTD,,
2018-10-15,11800,People,A SIGNIFICANT OTHER LTD,,
2018-10-10,10836.75,Operations & Reg Services,A&J KEITH LTD,,
2018-10-10,137544.11,Operations & Reg Services,A&J KEITH LTD,,
2018-10-12,4866,Operations & Reg Services,A&J KEITH LTD,,
2018-10-26,7440,Operations & Reg Services,A&J KEITH LTD,,
2018-10-18,420,Operations & Reg Services,A&J KEITH LTD,,
2018-10-26,2600,Operations & Reg Services,A&J KEITH LTD,,
2018-10-24,64152.46,Operations & Reg Services,A&J KEITH LTD,,
2018-10-16,718.3,Place,A&S LOCKSMITHS,,
2018-10-08,266.07,Place,A&S LOCKSMITHS,,
2018-10-26,364.2,Operations & Reg Services,A&S LOCKSMITHS,,
2018-10-25,58,Assistant Chief Executive,AA GLOBAL LANGUAGES SERVICES LTD,,
2018-10-25,250,People,AA GLOBAL LANGUAGES SERVICES LTD,,
2018-10-25,25,People,AA GLOBAL LANGUAGES SERVICES LTD,,
2018-10-25,57,People,AA GLOBAL LANGUAGES SERVICES LTD,,
2018-10-25,70,People,AA GLOBAL LANGUAGES SERVICES LTD,,
2018-10-25,245,Resources,AA GLOBAL LANGUAGES SERVICES LTD,,
2018-10-08,968,Operations & Regulatory Services,AAA CHEMICALS LTD,,
2018-10-19,500,Public Health Service,ABBEY TOURS WORLD HEALTHY CITIES 2018,,
2018-10-02,4740.72,People,ABBEYFIELD CASTLE FARM,,
2018-10-30,4740.72,People,ABBEYFIELD CASTLE FARM,,
2018-10-02,4740.72,People,ABBEYFIELD THE GROVE,,
2018-10-30,4740.72,People,ABBEYFIELD THE GROVE,,
2018-10-02,5176.64,People,ABBEYMOOR LIFEWAYS,,
2018-10-02,10392.64,People,ABBEYMOOR LIFEWAYS,,
2018-10-02,343.4,People,ABBEYMOOR LIFEWAYS,,
2018-10-30,5176.64,People,ABBEYMOOR LIFEWAYS,,
2018-10-30,672.64,People,ABBEYMOOR LIFEWAYS,,
2018-10-30,343.4,People,ABBEYMOOR LIFEWAYS,,
2018-10-23,1897.36,People,ABSOLUTE QUALITY CARE,,
2018-10-23,1897.36,People,ABSOLUTE QUALITY CARE,,
2018-10-24,20952.23,People,ABSOLUTE QUALITY CARE,,
2018-10-24,9044.7,People,ABSOLUTE QUALITY CARE,,
2018-10-24,1372.4,People,ABSOLUTE QUALITY CARE,,
2018-10-24,372.3,People,ABSOLUTE QUALITY CARE,,
2018-10-10,2396.25,People,ACADEMY AT SHOTTON HALL,,
2018-10-01,2782,People,ACCOUNTABILITY,,
2018-10-29,2782,People,ACCOUNTABILITY,,
2018-10-23,12840.25,Operations & Reg Services,ACORN DAIRY,,
2018-10-15,16285.71,People,ACORN HOUSE,,
2018-10-15,3040,People,ACORN HOUSE,,
2018-10-23,815.04,Operations & Reg Services,ACP,,
2018-10-26,3729.4,Operations & Reg Services,ACP,,
2018-10-26,1408.4,Resources,ACP,,
2018-10-23,622.5,Operations & Reg Services,ACROL AIR CONDITIONING CO LTD,,
2018-10-04,19000,People,ACTION FOR CHILDREN,,
2018-10-08,1194,People,ACTION FOR CHILDREN,,
2018-10-15,22571.43,People,ACTION FOR CHILDREN,,
2018-10-15,18620,People,ACTIVE ARK,,
2018-10-25,2334.05,Assistant Chief Executive,ADARE LTD,,
2018-10-22,8194.31,Assistant Chief Executive,ADARE LTD,,
2018-10-17,3946.43,Assistant Chief Executive,ADARE LTD,,
2018-10-17,773.5,Assistant Chief Executive,ADARE LTD,,
2018-10-23,820,Operations & Reg Services,ADC ELECTRICAL CO LTD(F),,
2018-10-16,2012.16,People,ADEN HOUSE,,
2018-10-16,1083.36,People,ADEN HOUSE,,
2018-10-29,2600,People,ADL SMARTCARE LTD,,
2018-10-15,377.7,Operations & Reg Services,ADMIRAL TAVERNS LTD,,
2018-10-29,653,People,ADOPTION MATTERS,,
2018-10-29,1102.19,Place,ADT FIRE & SECURITY,,
2018-10-29,710.34,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-29,671.43,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-29,636.95,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-29,394.28,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-29,600.32,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-29,951.45,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-29,970,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-29,702.49,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-29,923.49,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-29,956.33,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-29,464.27,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-29,436.91,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-29,988.31,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-29,272.12,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-29,804.62,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-29,281.75,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-29,528.06,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-29,337.96,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-29,656.86,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-29,788.64,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-29,664.35,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-29,1508.08,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-29,309.79,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-29,330.86,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-30,2515.94,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-30,1136.51,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-30,1615.97,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-30,1191.83,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-30,1488.54,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-30,1505.24,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-30,1639.45,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-30,2007.24,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-30,1278.54,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-30,1146.18,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-30,2625.81,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-30,1165.86,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-30,1281.6,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-30,1299.71,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-30,1178.08,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-30,1086.87,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-30,1602.96,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-30,1088.9,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-30,1167.35,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-30,2613.66,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-30,1125.74,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-30,1210.94,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-30,1489.46,Operations & Reg Services,ADT FIRE & SECURITY,,
2018-10-26,1079.44,HRA Expenditure,ADVANCED CLEANING & MAINTENANCE LTD,,
