Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2021-01-19,1696,ASC & Integrated Services,18 SEA VIEW VILLAS,,
2021-01-21,13000,City Futures,1SPATIAL GROUP LTD,,
2021-01-21,5950,Place,360 RI LTD,,
2021-01-27,3759.01,Resources,4NET TECHNOLOGIES LTD,,
2021-01-18,2916.46,Place,A & G JOINERY AND BUILDING,,
2021-01-22,66368.42,Operations & Reg Services,A&J KEITH LTD,,
2021-01-21,7680.00,Operations & Reg Services,A&J KEITH LTD,,
2021-01-28,9731.33,Operations & Reg Services,A&J KEITH LTD,,
2021-01-13,221916.57,Operations & Reg Services,A&J KEITH LTD,,
2021-01-13,67659.79,Operations & Reg Services,A&J KEITH LTD,,
2021-01-21,300.44,Place,A&S LOCKSMITHS,,
2021-01-21,619.32,Place,A&S LOCKSMITHS,,
2021-01-07,7920.00,"Children, Education and Skills",A1 FOSTER CARE,,
2021-01-28,36.4,"Children, Education and Skills",AA GLOBAL LANGUAGES SERVICES LTD,,
2021-01-28,30,"Children, Education and Skills",AA GLOBAL LANGUAGES SERVICES LTD,,
2021-01-28,736,"Children, Education and Skills",AA GLOBAL LANGUAGES SERVICES LTD,,
2021-01-28,541,"Children, Education and Skills",AA GLOBAL LANGUAGES SERVICES LTD,,
2021-01-28,153.00,"Children, Education and Skills",AA GLOBAL LANGUAGES SERVICES LTD,,
2021-01-28,214.71,"Children, Education and Skills",AA GLOBAL LANGUAGES SERVICES LTD,,
2021-01-28,1408,"Children, Education and Skills",AA GLOBAL LANGUAGES SERVICES LTD,,
2021-01-28,685,"Children, Education and Skills",AA GLOBAL LANGUAGES SERVICES LTD,,
2021-01-28,270.00,"Children, Education and Skills",AA GLOBAL LANGUAGES SERVICES LTD,,
2021-01-28,285,Public Health Service,AA GLOBAL LANGUAGES SERVICES LTD,,
2021-01-28,142,Resources,AA GLOBAL LANGUAGES SERVICES LTD,,
2021-01-28,56,Resources,AA GLOBAL LANGUAGES SERVICES LTD,,
