Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2015-09-01,384.00,General Fund,HOUSING BENEFITS / OVERPAYMENTS - BSS ONLY,,
2015-09-01,688.30,Adult Social Care,GENERAL INVOICES - BSS ONLY,,
2015-09-01,1000.00,Capital,GENERAL INVOICES - BSS ONLY,,
2015-09-01,646.37,Holding A/C,COUNCIL TAX REFUND,,
2015-09-01,619.21,Holding A/C,COUNCIL TAX REFUND,,
2015-09-01,600.00,Holding A/C,COUNCIL TAX REFUND,,
2015-09-01,298.95,Holding A/C,COUNCIL TAX REFUND,,
2015-09-01,279.17,Holding A/C,COUNCIL TAX REFUND,,
2015-09-01,254.82,Holding A/C,COUNCIL TAX REFUND,,
2015-09-01,1113.69,Holding A/C,COUNCIL TAX REFUND,,
2015-09-01,505.83,Holding A/C,COUNCIL TAX REFUND,,
2015-09-01,646.37,Holding A/C,COUNCIL TAX REFUND,,
2015-09-01,742.45,Holding A/C,COUNCIL TAX REFUND,,
2015-09-01,286.00,Holding A/C,NNDR,,
2015-09-01,4231.04,Holding A/C,NNDR,,
2015-09-01,1584.00,Holding A/C,NNDR,,
2015-09-01,6478.50,Holding A/C,NNDR,,
2015-09-01,702.44,Housing Services,HOUSING BENEFIT,,
2015-09-01,732.63,Housing Services,HOUSING BENEFIT,,
2015-09-01,338.49,Housing Services,HOUSING BENEFIT,,
2015-09-01,298.67,Housing Services,HOUSING BENEFIT,,
2015-09-01,411.09,Housing Services,HOUSING BENEFIT,,
2015-09-01,348.09,Housing Services,HOUSING BENEFIT,,
2015-09-01,363.60,Housing Services,HOUSING BENEFIT,,
2015-09-01,365.69,Housing Services,HOUSING BENEFIT,,
2015-09-01,258.65,Housing Services,HOUSING BENEFIT,,
2015-09-01,556.78,Housing Services,HOUSING BENEFIT,,
2015-09-01,900.00,Housing Services,HOUSING BENEFIT,,
2015-09-01,4147.59,Housing Services,HOUSING BENEFIT,,
2015-09-01,369.84,Housing Services,HOUSING BENEFIT,,
2015-09-01,532.92,Housing Services,HOUSING BENEFIT,,
2015-09-01,456.30,Housing Services,HOUSING BENEFIT,,
2015-09-01,402.56,Housing Services,HOUSING BENEFIT,,
